center,left,right,steering,throttle,brake,speed
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_08_812.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_08_812.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_08_812.jpg,0,0,0,2.781998E-07
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_08_892.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_08_892.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_08_892.jpg,0,0,0,9.305951E-07
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_08_967.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_08_967.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_08_967.jpg,0,0,0,1.913312E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_045.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_045.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_045.jpg,0,0,0,2.641814E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_121.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_121.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_121.jpg,0,0,0,3.238884E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_198.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_198.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_198.jpg,0,0,0,1.248063E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_275.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_275.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_275.jpg,0,0,0,4.301153E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_353.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_353.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_353.jpg,0,0,0,2.372183E-06
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_429.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_429.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_429.jpg,0,0,0,6.71949E-07
/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/center_2017_08_06_21_30_09_507.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/left_2017_08_06_21_30_09_507.jpg,/home/yiou/Udacity/CarND-Behavioral-Cloning-P3/new_data/IMG/right_2017_08_06_21_30_09_507.jpg,0,0,0,9.267463E-07
